budget,popularity,runtime,vote_count,revenue,release_year,profit,roi,genre_count,genres,keywords,director,main_cast,companies,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,vote_average
237000000.0,150.437577,162.0,11800,2787965087.0,2009,2550965087.0,11.763565767932489,4,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2
300000000.0,139.082615,169.0,4500,961000000.0,2007,661000000.0,3.203333333333333,3,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",0.0,0.7178217370978331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46641293718267857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169051419539915,0.0,0.0,0.0,0.0,6.9
245000000.0,107.376788,148.0,4466,880674609.0,2015,635674609.0,3.5945902408163266,3,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']","['Columbia Pictures', 'Danjaq']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
250000000.0,112.31295,165.0,9106,1084939099.0,2012,834939099.0,4.339756396,4,"['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']","['Legendary Pictures', 'Warner Bros.']",0.0,0.0,0.0,0.7882296413414788,0.0,0.4058739728232561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291263712991761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3593407855916214,0.0,0.0,7.6
260000000.0,43.926995,132.0,2124,284139100.0,2012,24139100.0,1.0928426923076924,3,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Walt Disney Pictures'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49342265539792013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716555920978019,0.0,0.0,0.0,0.7308044099367061,0.0,0.0,0.0,0.0,6.1
258000000.0,115.699814,139.0,3576,890871626.0,2007,632871626.0,3.4529907984496124,3,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']","['Columbia Pictures', 'Laura Ziskin Productions']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4810290927540146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3729716129188808,0.0,0.7167786140189217,0.0,0.34019348372073754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
260000000.0,48.681969,100.0,3330,591794936.0,2010,331794936.0,2.2761343692307694,2,"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296797558707313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7768548159383296,0.0,0.0,7.4
280000000.0,134.279229,141.0,6767,1405403694.0,2015,1125403694.0,5.019298907142857,3,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Marvel Studios', 'Prime Focus']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46964517642253323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6544473103564554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925640271145802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
250000000.0,98.885637,153.0,5293,933959197.0,2009,683959197.0,3.735836788,3,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']","['Warner Bros.', 'Heyday Films']",0.0,0.8490925496708902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36714344495343154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37979933243900454,0.0,0.0,0.0,7.4
250000000.0,155.790452,151.0,7004,873260194.0,2016,623260194.0,3.493040776,3,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']","['DC Comics', 'Atlas Entertainment']",0.0,0.0,0.0,0.44152610769815415,0.44791914232778135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3263022012014184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447450178720966,0.0,0.0,0.0,0.0,0.43135112751034693,0.0,0.0,0.0,0.33417742893035135,0.0,0.0,0.0,0.0,5.7
